AMZN
MSFT
FB
GOOGL
BABA
V
MA
GOOG
PYPL
BMY
AAPL
JPM
NFLX
TMUS
FIS
BRK-B
CRM
DIS
ADBE
ATVI
CHTR
UNH
C
BKNG
UBER
JNJ
NVDA
PCG
BAC
LOW
ABBV
JD
WFC
NOW
FISV
HD
MU
SE
CMCSA
INTC
CRWD
MRK
DHR
QCOM
PG
HUM
TMO
WDAY
CI
TJX
SCHW
CNC
SPGI
NKE
HCA
GM
ANTM
GS
UNP
VZ
GILD
TWTR
ABT
ADSK
DG
NXPI
EA
GLD
TWLO
SQ
GPN
IQV
BSX
PFE
DHI
SPY
SSNC
CVS
DD
TIF
TSLA
BIIB
ZEN
TDG
RNG
LRCX
MPC
ZBH
MCO
COST
AMT
MS
EXPE
ORLY
MCK
TTWO
WMT
IAC
MELI
ICE
CME
DLTR
OKTA
CPRT
KO
RTX
CSCO
BAX
AVGO
Z
TSM
EBAY
LBRDK
MDT
AMAT
ZTS
SHOP
AON
CVNA
ALXN
GE
DOCU
ATUS
DDOG
SBAC
T
MCD
OTIS
LUV
TEAM
GDDY
NEM
AZO
TXN
NEE
COF
DXCM
LEN
AXP
VRTX
TGT
LSXMK
SBUX
MDLZ
DISH
ALLY
BIO
HLT
PEP
PM
FLT
GLIBA
BDX
SHW
INTU
STZ
LMT
FCX
XOM
PINS
SLB
DKNG
LIN
GOLD
LH
BILL
PNC
ZNGA
GRUB
PANW
AMD
LLY
AMGN
QRVO
MLM
VICI
DBX
CCK
VMC
CZR
COUP
DELL
CSGP
PTON
CL
CVX
HON
LHX
SYK
PGR
KMI
ROST
ROK
BIDU
ADI
EQIX
ORCL
WLTW
PLAN
ADP
REGN
SNAP
FWONK
DRI
SWKS
CAH
SPLK
ERI
QURE
WDC
ZM
USB
BK
IMMU
MAR
AYX
XLRN
ANGI
VRSN
LVS
SMAR
DPZ
YUM
TRU
AAP
BX
AXTA
AMTD
CHNG
XLNX
FNF
NOC
NSC
DECK
CFG
KEYS
KSU
AAL
CSX
ECL
MYL
SYF
HOLX
ALL
KMX
LSXMA
FDX
EL
TPX
IBM
DGX
HEI
PRSP
IPHI
KKR
HZNP
BMRN
EW
MYOK
CCC
VIAC
ROP
CHGG
EOG
WYNN
WBA
DVN
QSR
ACAD
NUAN
FTNT
LKQ
INFO
CARR
YNDX
PLNT
LYV
FIVN
ACN
HDS
PODD
CXO
COP
FND
TDOC
DFS
MSCI
FAF
BKI
CHWY
LAMR
GDS
CCI
ETSY
ESTC
IOVA
IAA
MO
EVBG
APTV
ISRG
EXAS
MSGS
LPLA
QRTEA
CNNE
GD
SYY
NYT
VST
LB
HDB
SIRI
MMM
APH
FIVE
BHVN
PHM
NXST
MNTA
VMW
LITE
GDX
FMC
PSX
KSS
CMG
W
KR
ALGN
UTHR
ILMN
DT
CRL
FE
LEA
RNR
HUBS
ARNA
VOYA
FTDR
MRVL
WMB
ROKU
EXP
TAL
XPO
AIG
BERY
ANSS
CB
PTC
CDW
EVRG
RH
AME
URI
MAS
VRT
TT
ENPH
DOV
ABC
VVV
APA
UA
AKAM
STE
DXC
TCO
DKS
IDXX
MTG
WM
CAT
CTSH
TEL
MTCH
WAB
EDU
GRA
BA
PH
EXEL
SRPT
EQH
CDNS
FFIV
HSY
NVR
HIG
DAL
CTVA
RP
WCN
LULU
AAXN
CFX
XEC
TPR
HAE
PE
KNX
TOL
SABR
THO
VLO
SGEN
NTES
A
LNG
AZN
BURL
NBIX
BPMC
ALNY
UAL
CERN
MMC
TSCO
WMGI
ZBRA
BLL
SJM
ACM
ULTA
AYI
WAT
ZGNX
MIC
GNTX
OUT
GPS
UHS
LPX
MSGE
NBL
SO
CMI
CSL
FLIR
EIX
AVLR
NLOK
MDB
FRC
KMB
GIS
FTCH
RSG
MRNA
UPS
MTN
BLK
SPR
KLAC
TSN
CROX
BG
JEF
OC
CF
WPF
AGNC
APD
ESI
BLUE
OMF
EEFT
SEIC
WPX
KEY
HLF
SPOT
CP
MRTX
CLX
ETFC
FICO
CTXS
NRG
ACGL
FATE
VRSK
PAYX
GH
WH
IWM
STT
MPWR
BXP
MSI
TYL
AEO
PAYC
GNRC
NET
CMA
EMR
M
BEN
LVGO
TAP
PPG
GNW
KHC
DVA
MNST
BHC
FOXA
BC
FTV
STNE
NEWR
HPQ
CLGX
YUMC
BWA
NVRO
SERV
XRX
AXS
ZS
SRE
NTRA
LDOS
CAG
KBR
ITW
USFD
VEEV
GLPI
POOL
CTLT
PFPT
ODFL
CNST
DOW
NTRS
SAIC
RJF
PLD
DNKN
AOS
CC
FHN
DRNA
ADNT
PXD
SONO
NATI
GLUU
LOPE
LBTYK
OXY
TER
MOH
AVB
POST
WUBA
RDS
JAZZ
ACIA
FLEX
SNPS
COO
AEP
RGEN
AVTR
FAST
TGTX
WU
ARMK
AFL
MOMO
ETN
CTAS
PNR
WCC
LNC
TDY
RETA
NOMD
WYND
PENN
PII
PZZA
FSCT
CACI
FBHS
MAN
EQT
AWI
TROW
BHF
GSAH-UN
AVYA
MIME
REV
ANF
NAV
NWL
ST
BBY
HSIC
BAM
MKL
MKTX
DUK
MCHP
CLDR
SWK
ATH
GL
CE
INVH
BOX
SKX
JNPR
EQR
BPOP
ANET
CHD
EHC
SIX
NUVA
OLN
PRGO
EXPD
K
AA
WY
TMHC
D
WGO
BBBY
TW
MXIM
CRUS
SVMK
TFC
CRI
RGA
ARYA
RDN
HP
PRAH
SPWH
FOLD
IT
WEN
J
MGM
ASH
ETR
CBOE
DE
SAM
IBKR
MHK
QGEN
MLCO
MGP
ALSN
LYB
ON
AMRN
SLM
WRK
BLDR
MOS
CPB
COMM
TNDM
WERN
FCN
CIEN
IRWD
FITB
MKSI
CDK
ICUI
WORK
QDEL
GPK
MKC
THS
COHR
GGG
KLIC
NCR
CSTM
MASI
GMED
ASND
TEVA
NLSN
MET
UNVR
ABMD
AIZ
LOGM
LAD
DCPH
ED
TTC
CCXI
HPE
PEG
PRMW
PWR
ZYME
GBT
WMG
OMC
IEX
CSOD
AES
AXSM
ET
HBI
FTI
ELS
CARG
IR
RCL
JBL
CCL
VIAV
IMVT
ARVN
TKR
CNMD
CRSP
KURA
JACK
TRGP
WSC
PTCT
JKHY
Y
ISEE
BJ
NGVT
TPH
TDC
COG
IFF
PFG
LAUR
PDD
ACI
HWM
CDAY
PKI
LM
HRC
AER
KGC
F
CTL
EXC
HAL
MTB
AWK
NOV
INSM
AEM
NIO
STMP
HGV
TME
TPTX
MAA
CMS
CNP
SAGE
AGIO
CHX
DISCK
SUI
CCXX
HOG
MSM
AMED
STLD
EHTH
FR
STAY
FIT
